"ain","address","useType","taxStatus","yearBuilt","beds","baths","bldg","lot","assessed","lastBuyRec","lastBuyPrice","hasFcHist"
"8448-038-026","2079 CALLE FRANCESCA, SAN DIMAS CA 91773-4463","Single Family Residence","CURRENT","1985","4","3","3111","11734","935195","05/02/2017","790000","False"
"8448-038-027","2073 CALLE FRANCESCA, SAN DIMAS CA 91773-4463","Single Family Residence","CURRENT","1985","4","3","2807","11026","514381",,,"False"
"8448-038-028","2067 CALLE FRANCESCA, SAN DIMAS CA 91773-4463","Single Family Residence","CURRENT","1985","4","3","2729","12325","616433","06/01/1998","378500","False"
"8448-038-029","2061 CALLE FRANCESCA, SAN DIMAS CA 91773-4463","Single Family Residence","CURRENT","1985","4","3","3111","11791","958853","06/25/2009","730007","False"
"8448-038-030","2085 CALLE FRANCESCA, SAN DIMAS CA 91773-4463","Single Family Residence","CURRENT","1985","4","2","2190","13478","990120","01/07/2016","820008","False"
"8448-038-031","1508 CALLE CRISTINA, SAN DIMAS CA 91773-4458","Single Family Residence","CURRENT","1992","3","3","5841","99219","917199","09/18/1987","153001","False"
"8448-038-033","1520 CALLE CRISTINA, SAN DIMAS CA 91773-4458","Single Family Residence","CURRENT","2001","4","4","7119","67805","1707558","03/18/2009","1300000","False"
"8448-038-034","1526 CALLE CRISTINA, SAN DIMAS CA 91773-4458","Single Family Residence","CURRENT","1988","4","6","4398","60758","1065305","11/26/1997","555005","False"
"8448-038-036","1538 CALLE CRISTINA, SAN DIMAS CA 91773-4458","Single Family Residence","CURRENT","1991","5","5","4495","84880","1380100","08/18/2020","1250012","False"
"8448-038-037","1544 CALLE CRISTINA, SAN DIMAS CA 91773-4458","Single Family Residence","CURRENT","2000","3","4","5028","82012","1095960","07/30/1999","275002","True"
"8448-038-038","1550 CALLE CRISTINA, SAN DIMAS CA 91773-4458","Single Family Residence","CURRENT","2009","2","3","4483","92589","1153815","02/12/2004","250002","False"
"8448-038-039","1556 CALLE CRISTINA, SAN DIMAS CA 91773-4458","Single Family Residence","CURRENT","1992","5","5","5300","174068","2381493","08/12/2004","1675016","False"
"8448-038-041","1574 CALLE CRISTINA, SAN DIMAS CA 91773-4458","Single Family Residence","CURRENT","2000","4","5","5995","90578","1461771","05/12/1998","325000","False"
"8448-038-042","1580 CALLE CRISTINA, SAN DIMAS CA 91773-4458","Single Family Residence","CURRENT","1993","7","7","6124","41244","2550000","05/24/2005","2100021","False"
"8448-038-043","2050 PASEO LUCINDA, SAN DIMAS CA 91773-4454","Single Family Residence","CURRENT","1992","6","6","5769","156791","1386209","08/16/1988","375000","False"
"8448-038-044","2062 PASEO LUCINDA, SAN DIMAS CA 91773-4454","Single Family Residence","CURRENT","1992","5","7","6226","95380","2590000","05/25/2005","1725017","False"
"8448-038-046","1602 CALLE CRISTINA, SAN DIMAS CA 91773-4469","Single Family Residence","CURRENT","1990","5","6","5780","30315","1633487","01/06/2012","1275012","False"
"8448-038-047","1608 CALLE CRISTINA, SAN DIMAS CA 91773-4459","Single Family Residence","CURRENT","2008","6","7","5695","40422","1560410","03/05/2007","450004","False"
"8448-038-048","1581 CALLE CRISTINA, SAN DIMAS CA 91773-4459","Single Family Residence","CURRENT","2002","5","6","5289","72608","1623646","02/07/2022","1500000","False"
"8448-038-049","1575 CALLE CRISTINA, SAN DIMAS CA 91773-4459","Single Family Residence","CURRENT","2009","6","7","8820","105398","2426589","05/27/2010","2225000","True"
"8448-038-050","1569 CALLE CRISTINA, SAN DIMAS CA 91773-4459","Single Family Residence","CURRENT","1988","4","3","2938","105376","1173304",,,"False"
"8448-038-053","1551 CALLE CRISTINA, SAN DIMAS CA 91773-4459","Vacant Land","CURRENT",,,,,"77187","798255","12/16/2009","501005","True"
"8448-038-055","1539 CALLE CRISTINA, SAN DIMAS CA 91773-4459","Single Family Residence","CURRENT","1991","4","5","5837","63623","2035427","06/05/2007","1690000","False"
"8448-038-056","1533 CALLE CRISTINA, SAN DIMAS CA 91773-4459","Single Family Residence","CURRENT","2021","7","9","9580","54229","3247296","01/27/2022","3000030","True"
"8448-038-057","1527 CALLE CRISTINA, SAN DIMAS CA 91773-4459","Single Family Residence","CURRENT","1994","6","5","6392","61013","2516653","09/10/2021","2325023","False"
"8448-038-058","1502 CALLE CRISTINA, SAN DIMAS CA 91773-4458","Single Family Residence","CURRENT","1986","4","3","2807","14227","559498",,,"False"
