"ain","address","useType","taxStatus","parcelStatus","yearBuilt","beds","baths","bldg","lot","assessed","lastBuyRec","lastBuyPrice","lastBuyDoc","hasFcHist"
"8448-056-001","1048 VIA ROMALES, SAN DIMAS CA 91773-4422","Single Family Residence","CURRENT","DELETED",,,,,"28445","0","08/18/2003","760000","2375459","False"
"8448-056-002",",","Vacant Land","CURRENT","ACTIVE",,,,,"29102","562759","08/15/2005","285002","1945178","False"
"8448-056-003","1036 VIA ROMALES, SAN DIMAS CA 91773-4422","Single Family Residence","CURRENT","ACTIVE","1991","5","5","4653","43914","1005819","09/16/1998","580000","1667010","True"
"8448-056-004","1030 VIA ROMALES, SAN DIMAS CA 91733-4422","Single Family Residence","CURRENT","ACTIVE","2006","4","5","5711","61288","2294191","06/08/2016","1900019","0657295","False"
"8448-056-005","1024 VIA ROMALES, SAN DIMAS CA 91773-4422","Single Family Residence","CURRENT","ACTIVE","1996","5","6","8859","57801","1633610","04/20/1992","295000","0691414","False"
"8448-056-006","1018 VIA ROMALES, SAN DIMAS CA 91773-4422","Single Family Residence","CURRENT","ACTIVE","2008","5","6","7614","50675","3178559","03/17/2009","2380023","0377791","False"
"8448-056-007","1012 VIA ROMALES, SAN DIMAS CA 91773-4422","Single Family Residence","CURRENT","ACTIVE","1992","6","5","4575","40595","2160556","08/29/2005","1550015","2065633","True"
"8448-056-008","1006 VIA ROMALES, SAN DIMAS CA 91773-4422","Single Family Residence","CURRENT","ACTIVE","2016","5","6","6962","34504","3926469","09/19/2022","3700037","0916003","False"
"8448-056-009","1015 VIA ROMALES, SAN DIMAS CA 91773-4423","Single Family Residence","CURRENT","ACTIVE","1991","4","3","4386","46725","1131158","10/08/2003","780000","2999273","False"
"8448-056-010","1019 VIA ROMALES, SAN DIMAS CA 91773-4423","Single Family Residence","CURRENT","ACTIVE","1992","5","5","5610","47326","1846718","04/20/2017","1560015","0440446","False"
"8448-056-011","1025 VIA ROMALES, SAN DIMAS CA 91773-4423","Single Family Residence","CURRENT","ACTIVE","2012","3","4","3795","35207","1380999","05/02/2005","510000","1016727","False"
"8448-056-012","1031 VIA ROMALES, SAN DIMAS CA 91773-4423","Single Family Residence","CURRENT","ACTIVE","2005","5","7","5645","33130","1482009","08/18/2000","220000","1297466","False"
"8448-056-013","1037 VIA ROMALES, SAN DIMAS CA 91773-4423","Single Family Residence","CURRENT","ACTIVE","1991","5","5","6376","48436","1885049","02/02/2011","1442500","0185319","False"
"8448-056-014",",","Vacant Land","CURRENT","ACTIVE",,,,,"83290","974186","09/06/2017","698000","1010384","True"
"8448-056-015","1049 VIA ROMALES, SAN DIMAS CA 91773-4423","Single Family Residence","CURRENT","ACTIVE","2013","3","3","4527","41616","1325507","12/02/2011","410000","1629404","False"
"8448-056-016",",","Vacant Land","CURRENT","ACTIVE",,,,,"227016","9","06/09/1988","1170011","0917643","False"
"8448-056-017","1048 VIA ROMALES, SAN DIMAS CA 91773-4422","Single Family Residence","CURRENT","ACTIVE","1991","3","3","4289","36011","1560606","01/30/2020","1399013","0119104","False"
